Date,Price
2012-07-30,107.95
2012-07-31,107.97
2012-08-01,107.16
2012-08-02,107.95
2012-08-03,109.58
2009-10-23,80.49
2009-11-04,78.93
2009-11-06,78.65
2009-11-11,78.54
2009-11-13,76.71
2009-11-20,77.45
2009-11-23,79.0
2009-11-25,77.04
2009-11-30,77.72
2009-12-04,79.3
2009-12-07,77.84
2009-12-08,76.85
2009-12-09,76.21
2009-12-10,73.18
2009-12-11,72.62
2009-12-15,72.45
2009-12-16,73.61
2009-12-17,73.27
2009-12-22,72.92
2009-12-23,74.33
2009-12-28,77.5
2009-12-29,78.15
2009-12-30,79.04
2009-12-31,79.43
2010-01-04,80.07
2010-01-05,80.97
2010-01-06,80.7
2010-01-07,82.45
2010-01-08,81.38
2010-01-11,82.43
2010-01-12,80.82
2010-01-13,79.6
2010-01-14,79.22
2010-01-15,78.21
2010-01-18,77.53
2010-01-19,76.32
2010-01-20,76.68
2010-01-21,76.28
2010-01-22,74.24
2010-01-25,73.33
2010-01-26,73.45
2010-01-27,73.64
2010-01-28,72.74
2010-01-29,72.41
2010-02-01,72.41
2010-02-02,74.37
2010-02-03,77.2
2010-02-04,73.65
2010-02-05,70.77
2010-02-08,70.84
2010-02-09,72.0
2010-02-10,72.83
2010-02-11,74.26
2010-02-12,73.46
2010-02-15,73.93
2010-02-16,74.53
2010-02-17,76.76
2010-02-18,76.51
2010-02-19,77.62
2010-02-22,78.76
2010-02-23,78.22
2010-02-24,77.36
2010-02-25,77.68
2010-03-01,77.42
2010-03-02,77.99
2010-03-03,79.16
2010-03-04,79.57
2010-03-05,80.0
2010-03-08,80.96
2010-03-09,80.01
2010-03-10,80.82
2010-03-11,81.21
2010-03-12,81.38
2010-03-15,79.54
2010-03-16,79.77
2010-03-17,81.87
2010-03-18,81.82
2010-03-19,81.16
2010-03-22,79.07
2010-03-23,80.32
2010-03-24,79.53
2010-03-25,79.86
2010-03-26,80.65
2010-03-29,80.26
2010-03-30,81.1
2010-03-31,81.16
2010-04-01,83.65
2010-04-06,86.04
2010-04-07,86.07
2010-04-08,84.93
2010-04-09,85.03
2010-04-12,84.81
2010-04-13,85.06
2010-04-14,86.08
2010-04-15,87.44
2010-04-16,86.71
2010-04-19,84.21
2010-04-20,85.64
2010-04-21,86.19
2010-04-22,85.94
2010-05-25,68.23
2010-05-26,71.67
2010-06-10,75.26
2010-07-05,73.46
2010-07-06,74.47
2010-07-07,73.67
2010-07-08,76.04
2010-07-12,75.75
2010-07-13,76.97
2010-07-14,77.82
2010-07-15,77.8
2010-07-16,77.54
2010-07-19,77.22
2010-07-20,77.18
2010-07-21,78.2
2010-07-22,77.78
2010-07-23,78.82
2010-07-26,78.77
2010-07-27,78.99
2010-07-28,78.15
2010-07-29,78.87
2010-07-30,79.56
2010-08-02,82.09
2010-08-03,84.32
2010-08-04,85.09
2010-08-05,83.36
2010-08-06,83.08
2010-08-09,83.25
2010-08-10,81.51
2010-08-11,80.7
2010-08-12,78.27
2010-08-13,77.47
2010-08-16,77.22
2010-08-17,77.94
2010-08-18,77.05
2010-08-19,77.31
2010-08-20,75.77
2010-08-23,75.67
2010-08-24,73.97
2010-08-25,72.22
2010-08-26,75.73
2010-08-27,76.43
2010-08-30,77.57
2010-08-31,77.77
2010-09-01,77.52
2010-09-02,77.08
2010-09-03,77.8
2010-09-06,78.1
2010-09-07,77.62
2010-09-08,79.36
2010-09-09,79.71
2010-09-10,79.38
2010-09-13,80.36
2010-09-14,80.73
2010-09-15,80.3
2010-09-16,80.73
2010-09-17,79.27
2010-09-20,80.42
2010-09-21,81.09
2010-09-22,79.9
2010-09-23,78.65
2010-09-24,80.08
2010-09-27,80.08
2010-09-28,79.42
2010-09-29,80.2
2010-09-30,82.17
2010-10-04,84.94
2010-10-05,84.92
2010-10-06,85.97
2010-10-07,86.41
2010-10-08,84.19
2010-10-11,85.14
2010-10-12,84.78
2010-10-13,85.73
2010-10-14,85.93
2010-10-15,84.41
2010-10-18,83.21
2010-10-19,83.51
2010-10-20,82.82
2010-10-21,83.54
2010-10-22,82.71
2010-10-25,83.52
2010-10-26,84.03
2010-10-27,83.57
2010-10-28,84.31
2010-10-29,84.17
2010-11-01,85.53
2010-11-02,85.99
2010-11-03,86.63
2010-11-04,88.53
2010-11-05,88.55
2010-11-08,88.61
2010-11-09,89.37
2010-11-10,89.18
2010-11-11,90.16
2010-11-12,87.99
2010-11-15,85.17
2010-11-18,85.24
2010-11-19,84.6
2010-11-22,83.84
2010-11-23,83.89
2010-11-24,85.97
2010-11-25,87.23
2010-11-26,86.27
2010-11-29,87.4
2010-11-30,87.65
2010-12-01,88.17
2010-12-02,90.47
2010-12-03,91.99
2010-12-06,92.83
2010-12-07,93.25
2010-12-08,92.14
2010-12-09,92.03
2010-12-10,92.05
2010-12-13,92.58
2010-12-14,91.99
2010-12-15,91.75
2010-12-16,91.96
2010-12-17,92.74
2010-12-20,92.9
2010-12-23,95.04
2010-12-24,95.09
2010-12-29,94.89
2010-12-30,95.23
2010-12-31,94.01
2011-01-03,97.1
2011-01-04,96.3
2011-01-05,94.74
2011-01-06,97.3
2011-01-07,95.84
2011-01-10,96.11
2011-01-11,97.2
2011-01-12,98.97
2011-01-13,99.16
2011-01-14,99.82
2011-01-17,99.64
2011-01-18,99.1
2011-01-19,99.67
2011-01-20,99.13
2011-01-21,98.69
2011-01-24,99.04
2011-01-25,96.35
2011-01-27,98.96
2011-01-28,98.45
2011-01-31,99.35
2011-02-01,101.33
2011-02-02,102.75
2011-02-03,103.63
2011-02-04,103.02
2011-02-07,101.38
2011-02-08,100.25
2011-02-09,101.71
2011-02-10,103.01
2011-02-14,102.52
2011-02-16,103.63
2011-02-17,105.14
2011-02-18,103.87
2011-02-21,105.65
2011-02-22,108.09
2011-02-23,109.25
2011-02-24,117.24
2011-02-25,114.02
2011-02-28,113.96
2011-03-01,113.95
2011-03-02,116.55
2011-03-03,116.84
2011-03-04,117.23
2011-03-07,119.07
2011-03-08,115.86
2011-03-09,114.8
2011-03-10,116.15
2011-03-11,115.46
2011-03-14,114.44
2011-03-15,112.59
2011-03-16,112.4
2011-03-17,115.18
2011-03-18,116.91
2011-03-21,117.25
2011-03-22,116.18
2011-03-23,117.2
2011-03-24,117.06
2011-03-25,116.88
2011-03-28,116.79
2011-03-29,116.39
2011-03-30,116.88
2011-03-31,118.75
2011-04-01,119.54
2011-04-04,121.62
2011-04-05,122.6
2011-04-06,125.3
2011-04-07,124.85
2011-04-08,127.06
2011-04-11,128.32
2011-04-12,126.19
2011-04-13,124.66
2011-04-14,124.53
2011-04-18,124.85
2011-04-19,122.3
2011-04-20,125.15
2011-04-21,126.58
2011-04-27,126.82
2011-04-28,128.3
2011-04-29,129.03
2011-05-03,128.14
2011-05-04,126.18
2011-05-06,114.53
2011-05-09,116.41
2011-05-10,119.91
2011-05-11,120.72
2011-05-12,116.43
2011-05-13,118.34
2011-05-16,117.25
2011-05-17,115.91
2011-05-18,115.78
2011-05-19,116.77
2011-05-20,116.11
2011-05-23,113.81
2011-05-24,116.28
2011-05-27,112.25
2011-06-09,121.85
2011-06-10,123.1
2011-06-13,122.94
2011-06-14,123.27
2011-06-15,121.95
2011-06-16,117.67
2011-06-17,117.88
2011-06-20,115.64
2011-06-21,115.47
2011-06-22,114.92
2011-06-23,113.88
2011-06-24,109.9
2011-06-27,107.06
2011-06-28,109.37
2011-06-29,113.27
2011-06-30,114.06
2011-07-01,112.9
2011-07-04,114.15
2011-07-05,115.25
2011-07-06,115.51
2011-07-11,119.71
2011-07-12,119.24
2011-07-13,120.76
2011-07-14,120.97
2011-07-15,119.78
2011-07-18,119.99
2011-07-19,120.99
2011-07-20,121.64
2011-07-21,120.98
2011-07-22,121.04
2011-07-25,120.71
2011-07-26,121.05
2011-07-27,120.35
2011-07-28,120.61
2011-07-29,120.42
2011-08-02,118.25
2011-08-04,113.97
2011-08-05,109.69
2011-08-08,107.52
2011-08-09,104.86
2011-08-10,106.64
2011-08-11,108.02
2011-08-12,109.99
2011-08-15,110.65
2011-08-16,110.82
2011-08-17,113.16
2011-08-18,111.43
2011-08-19,109.8
2011-08-22,109.93
2011-08-23,111.66
2011-08-24,112.87
2011-08-25,113.83
2011-08-26,113.6
2011-08-29,115.05
2011-09-01,118.53
2011-09-02,118.12
2011-09-06,115.44
2011-09-07,118.65
2011-09-08,119.77
2011-09-09,117.45
2011-09-12,115.9
2011-09-13,116.8
2011-09-14,116.19
2011-09-15,118.81
2011-09-16,119.96
2011-09-19,117.82
2011-09-20,116.22
2011-09-21,114.88
2011-09-22,113.19
2011-09-23,114.61
2011-09-26,110.64
2011-09-27,111.92
2011-09-28,111.71
2011-09-29,109.67
2011-09-30,107.93
2011-10-04,105.44
2011-10-05,106.72
2011-10-06,106.72
2011-10-07,107.62
2011-10-10,111.68
2011-10-11,112.5
2011-10-12,116.02
2011-10-13,116.15
2011-10-14,118.91
2011-10-17,116.2
2011-10-18,115.19
2011-10-19,115.44
2011-10-20,113.18
2011-10-21,114.76
2011-10-24,114.89
2011-10-25,115.43
2011-10-26,115.24
2011-10-27,115.7
2011-10-28,115.04
2011-10-31,112.72
2011-11-01,110.71
2011-11-02,114.06
2011-11-03,113.62
2011-11-04,115.26
2011-11-09,115.9
2011-11-10,116.77
2011-11-14,117.38
2011-11-15,116.06
2011-11-16,115.63
2011-11-17,113.73
2011-11-18,112.45
2011-11-21,110.84
2011-11-22,111.04
2011-11-23,111.14
2011-11-24,111.02
2011-11-25,110.27
2011-11-28,112.16
2011-11-29,114.48
