Date,Price
01/04/2010,81.51
01/05/2010,81.77
01/06/2010,83.18
01/07/2010,82.66
01/08/2010,82.75
01/11/2010,82.52
01/12/2010,80.79
01/13/2010,79.65
01/14/2010,79.39
01/15/2010,78.0
01/19/2010,79.02
01/20/2010,77.62
01/21/2010,76.08
01/22/2010,74.54
01/25/2010,75.26
01/26/2010,74.71
01/27/2010,73.67
01/28/2010,73.64
01/29/2010,72.89
02/01/2010,74.43
02/02/2010,77.23
02/03/2010,76.98
02/04/2010,73.14
02/05/2010,71.19
02/08/2010,71.89
02/09/2010,73.75
02/10/2010,74.52
02/11/2010,75.28
02/12/2010,74.13
02/16/2010,77.01
02/17/2010,77.33
02/18/2010,79.06
02/19/2010,79.81
02/22/2010,80.16
02/23/2010,78.86
02/24/2010,80.0
02/25/2010,78.17
02/26/2010,79.66
03/01/2010,78.7
03/02/2010,79.68
03/03/2010,80.87
03/04/2010,80.21
03/05/2010,81.5
03/08/2010,81.87
03/09/2010,81.49
03/10/2010,82.09
03/11/2010,82.11
03/12/2010,81.24
03/15/2010,79.8
03/16/2010,81.7
03/17/2010,82.93
03/18/2010,82.2
03/19/2010,80.68
03/22/2010,81.25
03/23/2010,81.91
03/24/2010,80.61
03/25/2010,80.53
03/26/2010,80.0
03/29/2010,82.17
03/30/2010,82.37
03/31/2010,83.76
04/01/2010,84.87
04/05/2010,86.62
04/06/2010,86.84
04/07/2010,85.88
04/08/2010,85.39
04/09/2010,84.92
04/12/2010,84.34
04/13/2010,84.05
04/14/2010,85.84
04/15/2010,85.51
04/16/2010,83.24
04/19/2010,81.45
04/20/2010,83.45
04/21/2010,83.68
04/22/2010,83.7
04/23/2010,85.12
04/26/2010,84.2
04/27/2010,82.44
04/28/2010,83.22
04/29/2010,85.17
04/30/2010,86.15
05/03/2010,86.19
05/04/2010,82.74
05/05/2010,79.97
05/06/2010,77.11
05/07/2010,75.11
05/10/2010,76.8
05/11/2010,76.37
05/12/2010,75.65
05/13/2010,74.4
05/14/2010,71.61
05/17/2010,70.08
05/18/2010,69.41
05/19/2010,69.87
05/20/2010,68.01
05/21/2010,70.04
05/24/2010,70.21
05/25/2010,68.75
05/26/2010,71.51
05/27/2010,74.55
05/28/2010,73.97
06/01/2010,72.58
06/02/2010,72.86
06/03/2010,74.61
06/04/2010,71.51
06/07/2010,71.44
06/08/2010,71.99
06/09/2010,74.38
06/10/2010,75.48
06/11/2010,73.78
06/14/2010,75.12
06/15/2010,76.94
06/16/2010,77.67
06/17/2010,76.79
06/18/2010,77.18
06/21/2010,77.82
06/22/2010,77.21
06/23/2010,76.35
06/24/2010,76.51
06/25/2010,78.86
06/28/2010,78.25
06/29/2010,75.94
06/30/2010,75.63
07/01/2010,72.95
07/02/2010,72.14
07/06/2010,71.98
07/07/2010,74.07
07/08/2010,75.44
07/09/2010,76.09
07/12/2010,74.95
07/13/2010,77.15
07/14/2010,77.04
07/15/2010,76.62
07/16/2010,76.01
07/19/2010,76.54
07/20/2010,77.44
07/21/2010,76.56
07/22/2010,79.3
07/23/2010,78.98
07/26/2010,78.98
07/27/2010,77.5
07/28/2010,76.99
07/29/2010,78.36
07/30/2010,78.95
08/02/2010,81.34
08/03/2010,82.55
08/04/2010,82.47
08/05/2010,82.01
08/06/2010,80.7
08/09/2010,81.48
08/10/2010,80.25
08/11/2010,78.02
08/12/2010,75.74
08/13/2010,75.39
08/16/2010,75.24
08/17/2010,75.77
08/18/2010,75.42
08/19/2010,74.43
08/20/2010,73.46
08/23/2010,73.1
08/24/2010,71.63
08/25/2010,72.52
08/26/2010,73.36
08/27/2010,75.17
08/30/2010,74.7
08/31/2010,71.92
09/01/2010,73.91
09/02/2010,75.02
09/03/2010,74.6
09/07/2010,74.09
09/08/2010,74.67
09/09/2010,74.25
09/10/2010,76.45
09/13/2010,77.19
09/14/2010,76.8
09/15/2010,76.02
09/16/2010,74.57
09/17/2010,73.66
09/20/2010,74.86
09/21/2010,73.52
09/22/2010,74.71
09/23/2010,75.18
09/24/2010,76.49
09/27/2010,76.52
09/28/2010,76.18
09/29/2010,77.86
09/30/2010,79.97
10/01/2010,81.58
10/04/2010,81.47
10/05/2010,82.82
10/06/2010,83.23
10/07/2010,81.67
10/08/2010,82.66
10/11/2010,82.21
10/12/2010,81.67
10/13/2010,83.01
10/14/2010,82.69
10/15/2010,81.25
10/18/2010,83.08
10/19/2010,79.49
10/20/2010,81.77
10/21/2010,80.56
10/22/2010,81.69
10/25/2010,82.52
10/26/2010,82.55
10/27/2010,81.94
10/28/2010,82.18
10/29/2010,81.43
11/01/2010,82.95
11/02/2010,83.9
11/03/2010,84.69
11/04/2010,86.49
11/05/2010,86.85
11/08/2010,87.06
11/09/2010,86.72
11/10/2010,87.81
11/11/2010,87.81
11/12/2010,84.88
11/15/2010,84.86
11/16/2010,82.34
11/17/2010,80.44
11/18/2010,81.85
11/19/2010,81.51
11/22/2010,81.74
11/23/2010,81.25
11/24/2010,83.86
11/26/2010,83.76
11/29/2010,85.73
11/30/2010,84.11
12/01/2010,86.75
12/02/2010,88.0
12/03/2010,89.19
12/06/2010,89.38
12/07/2010,88.69
12/08/2010,88.28
12/09/2010,88.37
12/10/2010,87.79
12/13/2010,88.61
12/14/2010,88.28
12/15/2010,88.62
12/16/2010,87.7
12/17/2010,88.02
12/20/2010,88.81
12/21/2010,89.82
